cid,smiles,acvalue,categories
249332,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,0.0276,inhibitor
44245237,CC1=NN=C(S1)SC2=C(N=C(O2)C3=CN=CC=C3)C4=C(C(=C(C=C4)OC)OC)OC,0.032,inhibitor
44245072,CC1=CN=C(N=C1C)SC2=C(N=C(O2)C3=CN=CC=C3)C4=C(C(=C(C=C4)OC)OC)OC,0.035,inhibitor
44245075,COC1=C(C(=C(C=C1)C2=C(OC(=N2)C3=CC=C(C=C3)C(F)(F)F)SC4=NC5=CC=CC=C5S4)OC)OC,0.036,inhibitor
44244737,COC1=C(C(=C(C=C1)C2=C(OC(=N2)C3=CC=CC=C3Cl)SC4=NC5=CC=CC=C5S4)OC)OC,0.039,inhibitor
137650892,CCC(CC)(CCOC1=C(C=C(C=C1)C(CC)(CC)C2=CC=C(N2CC)C(=O)NCCCN(CC)CC)C)O,0.04,inhibitor
44245238,CC1=NN=C(S1)SC2=C(N=C(O2)C3=CC=CC=C3)C4=C(C(=C(C=C4)OC)OC)OC,0.042,inhibitor
44244909,COC1=C(C(=C(C=C1)C2=C(OC(=N2)C3=CC=CC=C3Cl)SC4=NC=CC=N4)OC)OC,0.047,inhibitor
44244908,COC1=C(C(=C(C=C1)C2=C(OC(=N2)C3=CC=CC=C3F)SC4=NC=CC=N4)OC)OC,0.051,inhibitor
132569676,CC(=CC1=CC(=C(C=C1)OC)O)C(=C)C2=CC(=C(C(=C2)OC)OC)OC,0.061,inhibitor
44245234,COC1=C(C(=C(C=C1)C2=C(OC(=N2)C3=CC=C(C=C3)C(F)(F)F)SC4=NC=CC=N4)OC)OC,0.066,inhibitor
10607,COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O,0.07,inhibitor
9884538,COC1=C(C=C(C=C1)C=CC(=O)C2=CC(=C(C(=C2)OC)OC)OC)O,0.09,inhibitor
6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,0.13,inhibitor
145984935,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)NCC8=CN(N=N8)C9=CC(=CC=C9)OC)C)C)C)OC1C(C(C(C(O1)CO)O)O)O)O)O)O)O,0.23,inhibitor
137656250,CCC=C(C=CC1=CC(=C(C=C1)OC)N)C2=CC(=C(C(=C2)OC)OC)OC,0.285,inhibitor
73776616,COC1=CC=C(C=C1)C(=O)NC(CC2=CNC3=CC=CC=C32)COC4=CC=C(C=C4)C=CC(=O)NO,0.29,inhibitor
137639182,CC=C(C=CC1=CC(=C(C=C1)OC)N)C2=CC(=C(C(=C2)OC)OC)OC,0.319,inhibitor
73776326,C1=CC=C(C=C1)C(=O)NC(CC2=CNC3=CC=CC=C32)COC4=CC=C(C=C4)C=CC(=O)NO,0.33,inhibitor
137661878,CC(=CC1=CC(=C(C=C1)OC)F)C(=C)C2=CC(=C(C(=C2)OC)OC)OC,0.354,inhibitor
145954484,COC1=CC2=C(C=C1)SC(=N2)NC(=O)CN3C=C(C4=CC=CC=C43)C(=O)C(=O)NC5=CC=CC=C5,0.361,inhibitor
90654859,C1=CC=C2C(=C1)C(=CN2)CC(COC3=CC=C(C=C3)C=CC(=O)NO)NCC4=CC=C(C=C4)Cl.Cl,0.37,inhibitor
137641210,COC1=C(C=C(C=C1)C=CC(=C)C2=CC(=C(C(=C2)OC)OC)OC)O,0.423,inhibitor
137653654,CC(=CC1=CC(=C(C=C1)OC)N)C(=C)C2=CC(=C(C(=C2)OC)OC)OC,0.457,inhibitor
73776472,C1=CC=C2C(=C1)C(=CN2)CC(COC3=CC=C(C=C3)C=CC(=O)NO)NC(=O)C4=CC=C(C=C4)Cl,0.46,inhibitor
137660224,CC(=CC1=CC=C(C=C1)OC)C(=C)C2=CC(=C(C(=C2)OC)OC)OC,0.487,inhibitor
145984811,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)NCC8=CN(N=N8)C9=CC(=CC=C9)Br)C)C)C)OC1C(C(C(C(O1)CO)O)O)O)O)O)O)O,0.49,inhibitor
73776614,C1=CC=C2C(=C1)C(=CN2)CC(COC3=CC=C(C=C3)C=CC(=O)NO)NC(=O)C4=CC=C(C=C4)F,0.51,inhibitor
73776327,C1=CC=C(C=C1)CC(=O)NC(CC2=CNC3=CC=CC=C32)COC4=CC=C(C=C4)C=CC(=O)NO,0.53,inhibitor
145982832,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)NCC8=CN(N=N8)C9=CC=C(C=C9)C)C)C)C)OC1C(C(C(C(O1)CO)O)O)O)O)O)O)O,0.54,inhibitor
145983028,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)NCC8=CN(N=N8)C9=CC=C(C=C9)OC)C)C)C)OC1C(C(C(C(O1)CO)O)O)O)O)O)O)O,0.55,inhibitor
137646083,COC1=C(C=C(C=C1)C=CC(=C)C2=CC(=C(C(=C2)OC)OC)OC)N,0.56,inhibitor
145984534,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)NCC8=CN(N=N8)C9=CC(=CC=C9)F)C)C)C)OC1C(C(C(C(O1)CO)O)O)O)O)O)O)O,0.72,inhibitor
44561979,CCCCC1=CC(=C(C=C1C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4)OCOCCOC,0.74,inhibitor
137654509,CC=C(CO)C1CC2C3=C(CC4C1(C(=O)N24)COC)C5=CC=CC=C5N3,0.74,inhibitor
44562043,COCCOCOC1=C(C=C(C(=C1)CC#C)C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4,0.76,inhibitor
137661644,CC=C(C1=CC(=C(C(=C1)OC)OC)OC)C(=CC2=CC(=C(C=C2)OC)O)C,0.789,inhibitor
53387509,CCC(C)C(C(=O)N1CC2=C(CC1C(=O)NC3=CC=C(C=C3)OC)C=CC(=C2)OCC(=O)NO)NC(=O)CC(C)(C)C,0.83,inhibitor
11622076,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)O)C)C)C)OC8C(C(C(C(O8)CO)O)O)O)O)O)O)O,0.85,inhibitor
