Name,SMILES
145983028,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)NCC8=CN(N=N8)C9=CC=C(C=C9)OC)C)C)C)OC1C(C(C(C(O1)CO)O)O)O)O)O)O)O
137646083,COC1=C(C=C(C=C1)C=CC(=C)C2=CC(=C(C(=C2)OC)OC)OC)N
145984534,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)NCC8=CN(N=N8)C9=CC(=CC=C9)F)C)C)C)OC1C(C(C(C(O1)CO)O)O)O)O)O)O)O
44561979,CCCCC1=CC(=C(C=C1C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4)OCOCCOC
137654509,CC=C(CO)C1CC2C3=C(CC4C1(C(=O)N24)COC)C5=CC=CC=C5N3
44562043,COCCOCOC1=C(C=C(C(=C1)CC#C)C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4
137661644,CC=C(C1=CC(=C(C(=C1)OC)OC)OC)C(=CC2=CC(=C(C=C2)OC)O)C
53387509,CCC(C)C(C(=O)N1CC2=C(CC1C(=O)NC3=CC=C(C=C3)OC)C=CC(=C2)OCC(=O)NO)NC(=O)CC(C)(C)C
11622076,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)O)C)C)C)OC8C(C(C(C(O8)CO)O)O)O)O)O)O)O
137641740,CCC(CC)(CCOC1=C(C=C(C=C1)C(CC)(CC)C2=CC=C(N2CC)C(=O)NCCN(C)C)C)O
137634240,COC1=C(C=CC(=C1)C=CC(=O)NO)OCC(CC2=CNC3=CC=CC=C32)NC(=O)C4=CC(=CC=C4)Cl
137640291,COC1=CC=C(C=C1)C(=O)NC(CC2=CNC3=CC=CC=C32)COC4=C(C=C(C=C4)C=CC(=O)NO)OC
155514191,C1=CC(=CC=C1NC2=NC(=NC=C2Cl)NC3=CNN=C3)F
155522806,C1=CC(=CC(=C1)Cl)NC2=NC(=NC=C2Cl)NC3=CNN=C3
137648185,CC1=CC=C(C=C1)C(=O)NC(CC2=CNC3=CC=CC=C32)COC4=C(C=C(C=C4)C=CC(=O)NO)OC
155526590,C1=CC=C(C(=C1)NC2=NC(=NC=C2Cl)NC3=CNN=C3)Cl
44562042,COCCOCOC1=C(C=C(C(=C1)CC=C)C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4
44562080,COC1=C(C=CC(=C1)C=CC2=CC=C(O2)C(=O)NO)OCC3=CC=CC=C3
137650130,COC1=C(C=CC(=C1)C=CC(=O)NO)OCC(CC2=CNC3=CC=CC=C32)NC(=O)C4=CC=C(C=C4)Br
44562044,COCCOCOC1=C(C=C(C(=C1)CC2=CC=CC=C2)C(=O)C=CC3=CC=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
137659898,C1COC2(O1)C3=C(C=CC(=C3)Br)N(C2=O)CC(=O)NC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5N
44561980,CCCCCC1=CC(=C(C=C1C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4)OCOCCOC
44561978,CCCC1=CC(=C(C=C1C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4)OCOCCOC
44561974,C1=CC(=CC=C1C(=O)C=CC2=CC=C(O2)C=CC(=O)NO)Cl
44561981,CCCCCCC1=CC(=C(C=C1C(=O)C=CC2=CC=C(C=C2)C(=O)O)C34CC5CC(C3)CC(C5)C4)OCOCCOC
127026516,CC(C)CN1C=NC2=C(N=C(N=C21)Cl)NCCCCCCC(=O)NO
